ID,POSITIVE,NEUTRAL,NEGATIVE,COMPUND 
4703,0.176,0.652,0.171,0.0186
4707,0.374,0.549,0.077,0.7506
4708,0.385,0.615,0.0,0.3612
4709,0.0,0.722,0.278,-0.4019
4710,0.0,1.0,0.0,0.0
4711,0.0,1.0,0.0,0.0
4712,0.0,1.0,0.0,0.0
4713,0.137,0.714,0.149,-0.0516
4715,0.149,0.614,0.237,-0.25
4716,0.0,0.78,0.22,-0.3089
4717,0.0,0.872,0.128,-0.5267
4718,0.07,0.93,0.0,0.3252
4720,0.0,1.0,0.0,0.0
4721,0.0,1.0,0.0,0.0
4723,0.141,0.859,0.0,0.4215
4726,0.0,1.0,0.0,0.0
4727,0.0,1.0,0.0,0.0
4728,0.571,0.429,0.0,0.6124
4729,0.0,1.0,0.0,0.0
4730,0.149,0.851,0.0,0.4215
4733,0.247,0.753,0.0,0.3182
4734,0.173,0.684,0.143,0.2105
4735,0.333,0.667,0.0,0.4588
4736,0.0,0.828,0.172,-0.6808
4737,0.0,0.791,0.209,-0.4404
4738,0.162,0.838,0.0,0.4019
4739,0.579,0.421,0.0,0.6705
4740,0.0,1.0,0.0,0.0
4742,0.464,0.536,0.0,0.3818
4745,0.177,0.745,0.078,0.4215
4748,0.143,0.857,0.0,0.3612
4749,0.0,1.0,0.0,0.0
4750,0.492,0.508,0.0,0.4404
4751,0.103,0.897,0.0,0.2382
4752,0.0,1.0,0.0,0.0
4758,0.412,0.588,0.0,0.2732
4760,0.0,1.0,0.0,0.0
4764,0.478,0.522,0.0,0.6705
4765,0.351,0.649,0.0,0.4019
4767,0.0,1.0,0.0,0.0
4768,0.0,1.0,0.0,0.0
4773,0.0,1.0,0.0,0.0
4774,0.0,1.0,0.0,0.0
4779,0.105,0.819,0.076,0.1615
4780,0.154,0.846,0.0,0.4588
4781,0.071,0.929,0.0,0.2263
4782,0.0,0.744,0.256,-0.4805
4783,0.158,0.842,0.0,0.296
4784,0.15,0.85,0.0,0.3182
4793,0.139,0.861,0.0,0.4404
4795,0.0,0.526,0.474,-0.4019
4797,0.375,0.625,0.0,0.3818
4804,0.0,1.0,0.0,0.0
4809,0.0,0.808,0.192,-0.5448
4810,0.483,0.517,0.0,0.6808
4812,0.129,0.745,0.126,0.0164
4813,0.213,0.787,0.0,0.4019
4814,0.085,0.757,0.158,-0.0829
4815,0.0,0.792,0.208,-0.575
4816,0.712,0.288,0.0,0.7506
4817,0.123,0.731,0.146,-0.128
4818,0.417,0.583,0.0,0.6124
4819,0.0,0.861,0.139,-0.4716
4820,0.0,1.0,0.0,0.0
4821,0.0,0.845,0.155,-0.5093
4822,0.168,0.745,0.087,0.3182
4823,0.0,1.0,0.0,0.0
4824,0.281,0.719,0.0,0.5719
4826,0.228,0.772,0.0,0.5927
4831,0.0,0.803,0.197,-0.4019
